date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:47	15764/15764	---M-Z	200	added ('OK')	application/javascript	etag:%223d94-577021dd9b480-gzip%22	https://preview.colorlib.com/theme/coffeeblend/js/jquery.timepicker.min.js	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/js/jquery.timepicker.min.js	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:47	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:%221d17-577021e448440-gzip%22	https://preview.colorlib.com/theme/coffeeblend/js/scrollax.min.js	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/js/scrollax.min.js	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:48	4171/4171	---M-Z	200	added ('OK')	application/javascript	etag:%22104b-577021d506040-gzip%22	https://preview.colorlib.com/theme/coffeeblend/js/google-map.js	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/js/google-map.js	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:48	6294/6294	---M-Z	200	added ('OK')	application/javascript	etag:%221896-577021e16bd80-gzip%22	https://preview.colorlib.com/theme/coffeeblend/js/main.js	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/js/main.js	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:48	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-5770224c3b980%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.eot	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
00:14:49	28196/28196	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226e24-5770224c3b980%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.eot?	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconicd41d.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
00:14:49	14984/14984	---M--	200	added ('OK')	font/woff	etag:%223a88-57702252e8940%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.woff	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.woff	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
00:14:49	28028/28028	---MCZ	200	added ('OK')	font/ttf	etag:W/%226d7c-5770224e23e00%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.ttf	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.ttf	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
00:14:50	20996/20996	---MCZ	200	added ('OK')	font/ttf	etag:W/%225204-5770224a53500%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.otf	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.otf	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
00:14:52	54789/54789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d605-57702251f4700%22	https://preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.svg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/open-iconic/open-iconic.svg	(from https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css)
